,vintage,dt,location,loc_name,category,measurement,unit,age,race,ethnicity,sex,value
18,2021-01-11 20:00:00+00:00,2021-01-05,21,Kentucky,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,154050
19,2021-01-11 20:00:00+00:00,2021-01-05,28,Mississippi,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,100425
20,2021-01-11 20:00:00+00:00,2021-01-05,37,North Carolina,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,348075
21,2021-01-11 20:00:00+00:00,2021-01-05,45,South Carolina,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,172575
22,2021-01-11 20:00:00+00:00,2021-01-05,47,Tennessee,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,228150
23,2021-01-11 20:00:00+00:00,2021-01-05,17,Illinois,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,345150
24,2021-01-11 20:00:00+00:00,2021-01-05,18,Indiana,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,225225
25,2021-01-11 20:00:00+00:00,2021-01-05,26,Michigan,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,343200
26,2021-01-11 20:00:00+00:00,2021-01-05,27,Minnesota,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,189150
27,2021-01-11 20:00:00+00:00,2021-01-05,39,Ohio,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,398775
28,2021-01-11 20:00:00+00:00,2021-01-05,55,Wisconsin,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,199875
29,2021-01-11 20:00:00+00:00,2021-01-05,05,Arkansas,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,104325
30,2021-01-11 20:00:00+00:00,2021-01-05,22,Louisiana,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,159900
31,2021-01-11 20:00:00+00:00,2021-01-05,35,New Mexico,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,72150
32,2021-01-11 20:00:00+00:00,2021-01-05,40,Oklahoma,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,132600
33,2021-01-11 20:00:00+00:00,2021-01-05,48,Texas,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,906750
34,2021-01-11 20:00:00+00:00,2021-01-05,19,Iowa,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,108225
35,2021-01-11 20:00:00+00:00,2021-01-05,20,Kansas,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,99450
36,2021-01-11 20:00:00+00:00,2021-01-05,29,Missouri,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,209625
37,2021-01-11 20:00:00+00:00,2021-01-05,31,Nebraska,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,66300
38,2021-01-11 20:00:00+00:00,2021-01-05,08,Colorado,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,189150
39,2021-01-11 20:00:00+00:00,2021-01-05,30,Montana,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,39000
40,2021-01-11 20:00:00+00:00,2021-01-05,38,North Dakota,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,27300
41,2021-01-11 20:00:00+00:00,2021-01-05,46,South Dakota,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,32175
42,2021-01-11 20:00:00+00:00,2021-01-05,49,Utah,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,94575
43,2021-01-11 20:00:00+00:00,2021-01-05,56,Wyoming,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,21450
44,2021-01-11 20:00:00+00:00,2021-01-05,04,Arizona,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,237900
45,2021-01-11 20:00:00+00:00,2021-01-05,06,California,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,1323075
46,2021-01-11 20:00:00+00:00,2021-01-05,15,Hawaii,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,50700
47,2021-01-11 20:00:00+00:00,2021-01-05,32,Nevada,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,100425
48,2021-01-11 20:00:00+00:00,2021-01-05,60,American Samoa,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,13650
49,2021-01-11 20:00:00+00:00,2021-01-05,66,Guam,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,19500
50,2021-01-11 20:00:00+00:00,2021-01-05,02,Alaska,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,62400
51,2021-01-11 20:00:00+00:00,2021-01-05,16,Idaho,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,55575
52,2021-01-11 20:00:00+00:00,2021-01-05,41,Oregon,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,143325
53,2021-01-11 20:00:00+00:00,2021-01-05,53,Washington,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,267150
54,2021-01-11 20:00:00+00:00,2021-01-05,09,Connecticut,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,126750
55,2021-01-11 20:00:00+00:00,2021-01-05,23,Maine,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,49725
56,2021-01-11 20:00:00+00:00,2021-01-05,25,Massachusetts,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,242775
57,2021-01-11 20:00:00+00:00,2021-01-05,33,New Hampshire,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,49725
58,2021-01-11 20:00:00+00:00,2021-01-05,44,Rhode Island,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,39000
59,2021-01-11 20:00:00+00:00,2021-01-05,50,Vermont,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,25350
60,2021-01-11 20:00:00+00:00,2021-01-05,34,New Jersey,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,305175
61,2021-01-11 20:00:00+00:00,2021-01-05,36,New York,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,389025
62,2021-01-11 20:00:00+00:00,2021-01-05,72,Puerto Rico,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,121875
63,2021-01-11 20:00:00+00:00,2021-01-05,78,Virgin Islands,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,4875
64,2021-01-11 20:00:00+00:00,2021-01-05,10,Delaware,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,34125
65,2021-01-11 20:00:00+00:00,2021-01-05,24,Maryland,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,205725
66,2021-01-11 20:00:00+00:00,2021-01-05,42,Pennsylvania,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,393900
67,2021-01-11 20:00:00+00:00,2021-01-05,51,Virginia,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,289575
68,2021-01-11 20:00:00+00:00,2021-01-05,54,West Virginia,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,66300
69,2021-01-11 20:00:00+00:00,2021-01-05,01,Alabama,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,166725
70,2021-01-11 20:00:00+00:00,2021-01-05,12,Florida,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,724425
71,2021-01-11 20:00:00+00:00,2021-01-05,13,Georgia,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,343200
72,2021-01-11 20:00:00+00:00,2021-01-05,21,Kentucky,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,154050
73,2021-01-11 20:00:00+00:00,2021-01-05,28,Mississippi,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,100425
74,2021-01-11 20:00:00+00:00,2021-01-05,37,North Carolina,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,348075
75,2021-01-11 20:00:00+00:00,2021-01-05,45,South Carolina,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,172575
76,2021-01-11 20:00:00+00:00,2021-01-05,47,Tennessee,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,228150
77,2021-01-11 20:00:00+00:00,2021-01-05,17,Illinois,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,345150
78,2021-01-11 20:00:00+00:00,2021-01-05,18,Indiana,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,225225
79,2021-01-11 20:00:00+00:00,2021-01-05,26,Michigan,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,343200
80,2021-01-11 20:00:00+00:00,2021-01-05,27,Minnesota,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,189150
81,2021-01-11 20:00:00+00:00,2021-01-05,39,Ohio,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,398775
82,2021-01-11 20:00:00+00:00,2021-01-05,55,Wisconsin,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,199875
83,2021-01-11 20:00:00+00:00,2021-01-05,05,Arkansas,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,104325
84,2021-01-11 20:00:00+00:00,2021-01-05,22,Louisiana,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,159900
85,2021-01-11 20:00:00+00:00,2021-01-05,35,New Mexico,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,72150
86,2021-01-11 20:00:00+00:00,2021-01-05,40,Oklahoma,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,132600
87,2021-01-11 20:00:00+00:00,2021-01-05,48,Texas,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,906750
88,2021-01-11 20:00:00+00:00,2021-01-05,19,Iowa,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,108225
89,2021-01-11 20:00:00+00:00,2021-01-05,20,Kansas,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,99450
90,2021-01-11 20:00:00+00:00,2021-01-05,29,Missouri,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,209625
91,2021-01-11 20:00:00+00:00,2021-01-05,31,Nebraska,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,66300
92,2021-01-11 20:00:00+00:00,2021-01-05,08,Colorado,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,189150
93,2021-01-11 20:00:00+00:00,2021-01-05,30,Montana,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,39000
94,2021-01-11 20:00:00+00:00,2021-01-05,38,North Dakota,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,27300
95,2021-01-11 20:00:00+00:00,2021-01-05,46,South Dakota,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,32175
96,2021-01-11 20:00:00+00:00,2021-01-05,49,Utah,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,94575
97,2021-01-11 20:00:00+00:00,2021-01-05,56,Wyoming,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,21450
98,2021-01-11 20:00:00+00:00,2021-01-05,04,Arizona,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,237900
99,2021-01-11 20:00:00+00:00,2021-01-05,06,California,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,1323075
100,2021-01-11 20:00:00+00:00,2021-01-05,15,Hawaii,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,50700
101,2021-01-11 20:00:00+00:00,2021-01-05,32,Nevada,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,100425
102,2021-01-11 20:00:00+00:00,2021-01-05,60,American Samoa,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,0
103,2021-01-11 20:00:00+00:00,2021-01-05,66,Guam,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,0
104,2021-01-11 20:00:00+00:00,2021-01-05,02,Alaska,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,62400
105,2021-01-11 20:00:00+00:00,2021-01-05,16,Idaho,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,55575
106,2021-01-11 20:00:00+00:00,2021-01-05,41,Oregon,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,143325
107,2021-01-11 20:00:00+00:00,2021-01-05,53,Washington,pfizer_vaccine_second_dose_allocated,cumulative,doses,all,all,all,all,267150
